GAME_ID,GAME_DATE,HOME_TEAM_ID,HOME_TEAM_ABBREVIATION,HOME_WL,SEASON_ID,AWAY_TEAM_ID,AWAY_TEAM_ABBREVIATION,HOME_WIN,HOME_Overall_WinPCT,HOME_Home_WinPCT,AWAY_Overall_WinPCT,AWAY_Away_WinPCT
0022000060,2020-12-30,1610612759,SAS,L,22020,1610612747,LAL,0,0.6666666666666666,1.0,0.5,0.5
0022000058,2020-12-30,1610612748,MIA,W,22020,1610612749,MIL,1,0.3333333333333333,0.5,0.5,0.3333333333333333
0022000061,2020-12-30,1610612746,LAC,W,22020,1610612757,POR,1,0.75,0.5,0.6666666666666666,1.0
0022000059,2020-12-30,1610612742,DAL,L,22020,1610612766,CHA,0,0.3333333333333333,0.5,0.3333333333333333,0.0
0022000065,2020-12-31,1610612745,HOU,W,22020,1610612758,SAC,1,0.0,0.5,0.75,1.0
0022000062,2020-12-31,1610612754,IND,W,22020,1610612739,CLE,1,0.75,0.6666666666666666,0.75,1.0
0022000068,2020-12-31,1610612762,UTA,L,22020,1610612756,PHX,0,0.6666666666666666,0.0,0.75,0.5
0022000066,2020-12-31,1610612761,TOR,W,22020,1610612752,NYK,1,0.0,0.0,0.5,0.5
0022000067,2020-12-31,1610612760,OKC,L,22020,1610612740,NOP,0,0.3333333333333333,0.0,0.5,0.3333333333333333
0022000064,2020-12-31,1610612753,ORL,L,22020,1610612755,PHI,0,1.0,1.0,0.75,0.5
0022000063,2020-12-31,1610612764,WAS,L,22020,1610612741,CHI,0,0.0,0.0,0.25,1.0
0022000069,2021-01-01,1610612766,CHA,L,22020,1610612763,MEM,0,0.5,0.5,0.25,0.5
0022000076,2021-01-01,1610612743,DEN,L,22020,1610612756,PHX,0,0.25,0.3333333333333333,0.8,0.6666666666666666
0022000071,2021-01-01,1610612742,DAL,W,22020,1610612748,MIA,1,0.25,0.0,0.5,0.0
0022000077,2021-01-01,1610612762,UTA,W,22020,1610612746,LAC,1,0.5,0.0,0.8,1.0
0022000073,2021-01-01,1610612749,MIL,W,22020,1610612741,CHI,1,0.4,1.0,0.4,1.0
0022000075,2021-01-01,1610612759,SAS,L,22020,1610612747,LAL,0,0.5,0.5,0.6,1.0
0022000070,2021-01-01,1610612765,DET,W,22020,1610612738,BOS,1,0.0,0.0,0.6,0.5
0022000074,2021-01-01,1610612750,MIN,L,22020,1610612764,WAS,0,0.5,1.0,0.0,0.0
0022000078,2021-01-01,1610612744,GSW,L,22020,1610612757,POR,0,0.5,0.5,0.5,0.5
0022000072,2021-01-01,1610612751,BKN,L,22020,1610612737,ATL,0,0.6,0.6666666666666666,0.75,0.6666666666666666
0022000080,2021-01-02,1610612754,IND,L,22020,1610612752,NYK,0,0.8,0.75,0.4,0.3333333333333333
0022000083,2021-01-02,1610612737,ATL,L,22020,1610612739,CLE,0,0.8,1.0,0.6,0.5
0022000082,2021-01-02,1610612755,PHI,W,22020,1610612766,CHA,1,0.8,1.0,0.4,0.5
0022000079,2021-01-02,1610612745,HOU,W,22020,1610612758,SAC,1,0.3333333333333333,1.0,0.6,0.5
0022000081,2021-01-02,1610612753,ORL,L,22020,1610612760,OKC,0,0.8,0.5,0.25,1.0
0022000084,2021-01-02,1610612740,NOP,W,22020,1610612761,TOR,1,0.6,1.0,0.25,0.0
0022000090,2021-01-03,1610612741,CHI,W,22020,1610612742,DAL,1,0.3333333333333333,0.0,0.4,0.3333333333333333
0022000088,2021-01-03,1610612750,MIN,L,22020,1610612743,DEN,0,0.4,0.5,0.2,0.0
0022000089,2021-01-03,1610612759,SAS,L,22020,1610612762,UTA,0,0.4,0.3333333333333333,0.6,1.0
0022000092,2021-01-03,1610612744,GSW,W,22020,1610612757,POR,1,0.4,0.0,0.6,0.6666666666666666
0022000085,2021-01-03,1610612765,DET,L,22020,1610612738,BOS,0,0.2,0.3333333333333333,0.5,0.3333333333333333
0022000091,2021-01-03,1610612756,PHX,L,22020,1610612746,LAC,0,0.8333333333333334,1.0,0.6666666666666666,0.6666666666666666
0022000087,2021-01-03,1610612763,MEM,L,22020,1610612747,LAL,0,0.4,0.0,0.6666666666666666,1.0
0022000086,2021-01-03,1610612751,BKN,L,22020,1610612764,WAS,0,0.5,0.5,0.16666666666666666,0.5
0022000093,2021-01-04,1610612753,ORL,W,22020,1610612739,CLE,1,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666
0022000097,2021-01-04,1610612761,TOR,L,22020,1610612738,BOS,0,0.2,0.5,0.5714285714285714,0.5
0022000095,2021-01-04,1610612737,ATL,L,22020,1610612752,NYK,0,0.6666666666666666,0.5,0.5,0.5
0022000098,2021-01-04,1610612745,HOU,L,22020,1610612742,DAL,0,0.5,1.0,0.3333333333333333,0.25
0022000096,2021-01-04,1610612748,MIA,W,22020,1610612760,OKC,1,0.4,0.6666666666666666,0.4,1.0
0022000094,2021-01-04,1610612755,PHI,W,22020,1610612766,CHA,1,0.8333333333333334,1.0,0.3333333333333333,0.3333333333333333
0022000099,2021-01-04,1610612749,MIL,W,22020,1610612765,DET,1,0.5,1.0,0.16666666666666666,0.0
